Ta, Tb
9.944765, 10.687107
9.944744, 10.687113
9.944724, 10.687119
9.944703, 10.687125
9.944683, 10.687132
9.944664, 10.687138
9.944645, 10.687144
9.944626, 10.687151
9.944608, 10.687157
9.944590, 10.687164
9.944573, 10.687170
9.944555, 10.687177
9.944539, 10.687183
9.944522, 10.687190
9.944506, 10.687197
9.944491, 10.687203
9.944475, 10.687210
9.944460, 10.687217
9.944446, 10.687224
9.944431, 10.687231
9.944418, 10.687238
9.944404, 10.687245
9.944391, 10.687252
9.944378, 10.687259
9.944365, 10.687266
9.944353, 10.687273
9.944341, 10.687280
9.944330, 10.687287
9.944318, 10.687294
9.944308, 10.687301
9.944297, 10.687309
9.944287, 10.687316
9.944277, 10.687323
9.944267, 10.687331
9.944258, 10.687338
9.944249, 10.687346
9.944240, 10.687353
9.944232, 10.687361
9.944223, 10.687368
9.944216, 10.687376
9.944208, 10.687383
9.944201, 10.687391
9.944194, 10.687399
9.944187, 10.687406
9.944181, 10.687414
9.944175, 10.687422
9.944169, 10.687430
9.944163, 10.687438
9.944158, 10.687446
9.944153, 10.687454
9.944148, 10.687461
9.944145, 10.687469
9.944142, 10.687477
9.944139, 10.687486
9.944137, 10.687494
9.944134, 10.687502
9.944133, 10.687510
9.944131, 10.687518
9.944130, 10.687526
9.944129, 10.687534
9.944128, 10.687543
9.944127, 10.687551
9.944127, 10.687559
9.944127, 10.687567
9.944127, 10.687576
9.944127, 10.687584
9.944128, 10.687593
9.944129, 10.687601
9.944130, 10.687609
9.944131, 10.687618
9.944133, 10.687626
9.944135, 10.687635
9.944137, 10.687643
9.944139, 10.687652
9.944141, 10.687660
9.944144, 10.687669
9.944147, 10.687677
9.944150, 10.687686
9.944153, 10.687695
9.944157, 10.687703
9.944160, 10.687712
9.944164, 10.687721
9.944168, 10.687729
9.944173, 10.687738
9.944177, 10.687747
9.944182, 10.687755
9.944186, 10.687764
9.944191, 10.687773
9.944196, 10.687782
9.944202, 10.687790
9.944207, 10.687799
9.944213, 10.687808
9.944218, 10.687817
9.944224, 10.687825
9.944230, 10.687834
9.944236, 10.687843
9.944242, 10.687852
9.944249, 10.687860
9.944255, 10.687869
9.944262, 10.687878
9.944269, 10.687887
9.944276, 10.687895
9.944282, 10.687904
9.944289, 10.687913
9.944297, 10.687922
9.944304, 10.687930
